 10  39
  7   6    13
  3   7     8
  5   7    11
  2   7    12
  7   7    13
  8   8    10
  4   8    11
  5   8    12
  1   8    13
  1   9    10
  2   9    11
  2   9    12
  5   9    13
  1  10    11
  3  10    12
  2  10    13
  7  11    12

 16  80
  1   0     1
  5   0     3
  5   0     4
  3   0     5
  3   0     6
  1   0    10
  7   0    12
  3   1     2
  1   1     3
  5   1     4
  4   1     5
  7   1     6
  2   1    11
  3   1    12
  2   1    14
  6   1    15
  6   2     4
  5   2     6
  2   2     8
  6   2     9
  4   2    11
  3   2    12
  2   2    13
  4   2    15
  5   3     5
  3   3     6
  4   3     7
  4   3    10
  2   3    11
  8   3    12
  1   3    13
  2   3    14
  3   3    15
  4   4     6
  2   4     7
  3   4     8
  2   4     9
  4   4    10
  3   4    11
  1   4    12
  6   4    14
  1   4    15
  1   5     6
  7   5     7
  1   5     8
  2   5     9
  6   5    12
  8   5    13
  3   5    15
  1   6     7
  6   6     8
  8   6     9
  7   6    10
  5   6    12
  1   7     8
  5   7    10
  3   7    13
  3   7    14
  5   7    15
  5   8     9
  3   8    10
  4   8    11
  2   8    13
  5   8    14
  4   8    15
  1   9    11
  4   9    12
  4   9    13
  1   9    14
  3  10    11
  2  10    12
  1  10    13
  8  10    14
  2  10    15
  5  11    12
  1  11    14
  4  12    13
  1  12    15
  3  13    14
  7  14    15

 18 111
  5   0     3
  2   0     4
  9   0     5
  1   0     6
  4   0     7
  2   0     8
  6   0    10
  3   0    11
  1   0    12
  9   0    14
  3   0    15
  7   0    16
  4   1     2
  3   1     3
  5   1     4
  6   1     5
  2   1     6
  3   1     7
  1   1     8
  5   1     9
  1   1    13
  2   1    15
  4   1    16
  6   1    17
 10   2     3
  8   2     5
  7   2     6
  8   2     7
  3   2     8
 10   2    10
  5   2    11
  2   2    12
  1   2    14
  6   2    15
  4   2    16
  4   3     4
  2   3     5
  3   3     6
  6   3     7
  1   3     9
  5   3    10
  1   3    11
 10   3    12
  4   3    13
  7   3    14
  8   3    15
  3   4     5
  9   4     6
  2   4     7
  1   4     9
  8   4    11
  7   4    12
  4   4    13
  1   4    16
  3   4    17
 10   5     9
  4   5    10
  2   5    11
  9   5    12
 10   5    13
  3   5    14
  1   5    15
  1   5    17
  1   6     7
  7   6     8
  4   6     9
  8   6    10
  6   6    11
  5   6    13
  2   6    15
 10   6    17
 10   7     8
  9   7     9
  1   7    12
  2   7    13
 10   7    14
  5   7    15
  5   7    16
  4   8    10
  3   8    12
  1   8    13
  4   8    15
  5   8    16
  2   9    10
  4   9    12
 10   9    13
  7   9    14
  9   9    15
  2   9    16
  7  10    11
 10  10    12
  5  10    13
  1  10    14
  3  10    16
  9  10    17
  7  11    13
  3  11    15
  1  11    16
  4  11    17
  6  12    13
  5  12    14
  2  12    17
  3  13    14
  9  13    16
  3  13    17
 10  14    15
  6  14    16
  2  14    17
  7  15    16
  1  15    17
  8  16    17

 20 125
 10   0     2
  4   0     3
  1   0     4
  2   0     6
  1   0     7
  7   0     8
  5   0    10
  2   0    11
  9   0    12
  4   0    13
  9   0    16
  3   0    18
  1   1     2
  3   1     6
  4   1     7
 10   1     8
  2   1     9
  9   1    10
  6   1    11
  1   1    13
  8   1    14
  4   1    15
  7   1    16
  3   1    17
  2   1    18
 10   2     3
  2   2     4
  2   2     5
  7   2     7
  8   2     8
  4   2     9
  5   2    12
  3   2    14
  1   2    15
  6   2    17
  3   2    18
  4   2    19
  5   3     4
  1   3     5
  1   3     6
  3   3     7
  7   3     9
  7   3    10
  3   3    11
  6   3    12
  2   3    14
  2   3    16
  8   3    19
  8   4     6
  1   4     7
  6   4     8
  4   4    10
  3   4    14
  4   4    15
  2   4    17
  1   5     8
  3   5     9
 10   5    10
  5   5    12
  7   5    13
  4   5    14
  3   5    16
  2   5    17
  9   5    18
 10   5    19
  4   6     8
  2   6    10
  8   6    11
  6   6    12
 10   6    16
  1   6    17
  4   6    18
  5   6    19
  2   7     8
  2   7     9
  3   7    10
 10   7    11
  8   7    14
  6   7    16
  5   7    19
  3   8    12
  8   8    13
  7   8    14
  3   8    15
  5   8    16
  1   8    17
  2   8    18
  5   9    10
  5   9    11
  4   9    12
  9   9    13
 10   9    14
  8   9    16
  6   9    18
  3   9    19
  1  10    11
  1  10    12
  8  10    17
  6  10    18
  6  10    19
  1  11    12
  6  11    15
  9  11    16
  2  12    13
  3  12    15
  2  12    19
  5  13    14
  1  13    15
  4  13    16
  9  13    17
  5  13    18
  2  13    19
  9  14    15
  2  14    16
  4  14    17
  1  14    18
  1  14    19
  5  15    16
  5  15    17
  7  15    18
  8  15    19
  1  16    18
  1  16    19
 10  17    19
  9  18    19

